player,team_bye_week,pos,depth_chart,adp,expert_consensus_rank,pts_over_replacement,position_score
Jalen Hurts,PHI/5,QB,1,3.08,3|2,77.6,80.44
Josh Allen,BUF/12,QB,1,2.09,2|12,74.6,61.65
Patrick Mahomes II,KC/6,QB,1,3.08,3|12,52.9,48.32
Lamar Jackson,BAL/14,QB,1,4.01,4|1,52,35.21
Dak Prescott,DAL/7,QB,1,6.09,6|4,27.6,28.27
Anthony Richardson,IND/14,QB,1,5.01,4|11,27.1,21.44
C.J. Stroud,HOU/14,QB,1,4.1,5|4,22.9,15.67
Joe Burrow,CIN/12,QB,1,6,6|2,22.3,10.04
Kyler Murray,ARI/11,QB,1,6.07,5|11,15.6,6.12
Brock Purdy,SF/9,QB,1,8.08,7|9,10.8,3.41
Jordan Love,GB/10,QB,1,6.12,6|10,10.6,0.73
Trevor Lawrence,JAC/12,QB,1,11.06,9|6,2.9,0
Jayden Daniels,WAS/14,QB,1,10.01,8|3,0,0
Caleb Williams,CHI/7,QB,1,9.1,9|8,-2.2,0
Justin Herbert,LAC/5,QB,1,10.08,9|11,-3.1,0
Jared Goff,DET/5,QB,1,9.07,8|12,-6.1,0
Deshaun Watson,CLE/10,QB,1,14.06,12|2,-7.3,0
Tua Tagovailoa,MIA/6,QB,1,9.06,8|9,-11.1,0
Baker Mayfield,TB/11,QB,1,13.07,12|6,-14.5,0
Kirk Cousins,ATL/12,QB,1,12.01,10|8,-15,0
Matthew Stafford,LAR/6,QB,1,12.07,11|2,-17.6,0
Aaron Rodgers,NYJ/12,QB,1,12.07,11|8,-20.9,0
Geno Smith,SEA/10,QB,1,15.01,12|9,-25.1,0
Derek Carr,NO/12,QB,1,16.04,14|3,-36.3,0
Christian McCaffrey,SF/9,RB,1,1.01,1|1,137.3,83.6
Breece Hall,NYJ/12,RB,1,1.05,1|7,87.7,73.1
Bijan Robinson,ATL/12,RB,1,1.05,1|5,82,63.3
Saquon Barkley,PHI/5,RB,1,1.11,2|2,64.6,55.6
Jonathan Taylor,IND/14,RB,1,1.11,2|1,62,48.1
Kyren Williams,LAR/6,RB,1,2.04,2|4,52.9,41.8
Jahmyr Gibbs,DET/5,RB,1,1.12,1|12,44.2,36.5
Derrick Henry,BAL/14,RB,1,2.08,2|8,40.5,31.7
Travis Etienne Jr.,JAC/12,RB,1,2.06,2|7,38.7,27.1
Isiah Pacheco,KC/6,RB,1,2.12,3|1,36.6,22.7
Rachaad White,TB/11,RB,1,3.09,4|4,33.9,18.6
Josh Jacobs,GB/10,RB,1,2.12,4|5,32.2,14.8
De'Von Achane,MIA/6,RB,1,2.1,3|8,28.8,11.4
James Cook,BUF/12,RB,1,4.03,4|8,28.7,7.9
Joe Mixon,HOU/14,RB,1,4.06,4|6,24.1,5
Alvin Kamara,NO/12,RB,1,4.11,5|3,20.6,2.6
Kenneth Walker III,SEA/10,RB,1,4.1,4|12,15.9,0.7
Aaron Jones,MIN/6,RB,1,5.06,5|12,5.6,0
David Montgomery,DET/5,RB,2,6.01,5|10,0,0
Rhamondre Stevenson,NE/14,RB,1,5.11,6|3,-0.9,0
Najee Harris,PIT/9,RB,1,6.08,6|11,-2.7,0
D'Andre Swift,CHI/7,RB,1,6.04,7|1,-3.7,0
Zamir White,LV/10,RB,1,6.07,6|8,-4,0
James Conner,ARI/11,RB,1,5.12,6|6,-5.2,0
Raheem Mostert,MIA/6,RB,2,7.02,7|3,-9.5,0
Tony Pollard,TEN/5,RB,1,8.01,7|8,-20.6,0
Javonte Williams,DEN/14,RB,1,9.01,8|5,-20.7,0
Jaylen Warren,PIT/9,RB,2,8.03,7|10,-20.7,0
Zack Moss,CIN/12,RB,1,7.07,8|4,-21.9,0
Devin Singletary,NYG/11,RB,1,8.07,8|7,-22.1,0
Brian Robinson Jr.,WAS/14,RB,1,8.12,8|1,-23.1,0
Jonathon Brooks,CAR/11,RB,1,8.07,8|11,-23.8,0
Ezekiel Elliott,DAL/7,RB,1,10.01,9|12,-28.1,0
Austin Ekeler,WAS/14,RB,2,8.1,9|10,-32.7,0
Tyjae Spears,TEN/5,RB,2,9.09,9|5,-32.8,0
Gus Edwards,LAC/5,RB,1,10.06,10|3,-34.5,0
Nick Chubb,CLE/10,RB,1,8.03,10|5,-38.4,0
Chase Brown,CIN/12,RB,2,11.03,10|5,-42.7,0
Jerome Ford,CLE/10,RB,2,10.11,10|10,-51.9,0
Ty Chandler,MIN/6,RB,2,13.09,13|2,-66.1,0
Tyler Allgeier,ATL/12,RB,2,14.1,13|3,-67.2,0
J.K. Dobbins,LAC/5,RB,2,12.09,14|2,-67.3,0
Zach Charbonnet,SEA/10,RB,2,12.01,11|6,-67.6,0
Antonio Gibson,NE/14,RB,2,13.12,12|8,-68.3,0
Trey Benson,ARI/11,RB,2,9.09,11|2,-71.1,0
Blake Corum,LAR/6,RB,2,10.1,11|10,-72.8,0
