name,draft_team,draft_year,position,stats_global_id,team,id,twitter_username,stats_id,fleaflicker_id,cbs_id,height,college,rotowire_id,jersey,sportsdata_id,draft_pick,weight,draft_round,rotoworld_id,nfl_id,birthdate,espn_id,status,last_name,first_name
Buffalo Bills,BUF,1970,TMWR,0,BUF,151,,2.0,2331.0,409.0,,,,,,,,,,,,,,Bills,Buffalo
Buffalo Bills,BUF,1970,TMWR,0,BUF,151,,2.0,2331.0,309.0,,,,,,,,,,,,,,Bills,Buffalo
Indianapolis Colts,IND,1970,TMWR,0,IND,152,,11.0,2341.0,402.0,,,,,,,,,,,,,,Colts,Indianapolis
Indianapolis Colts,IND,1970,TMWR,0,IND,152,,11.0,2341.0,302.0,,,,,,,,,,,,,,Colts,Indianapolis
Indianapolis Colts,IND,1970,TMWR,0,IND,152,,11.0,2341.0,502.0,,,,,,,,,,,,,,Colts,Indianapolis
Miami Dolphins,MIA,1970,TMWR,0,MIA,153,,15.0,2344.0,404.0,,,,,,,,,,,,,,Dolphins,Miami
Miami Dolphins,MIA,1970,TMWR,0,MIA,153,,15.0,2344.0,304.0,,,,,,,,,,,,,,Dolphins,Miami
Miami Dolphins,MIA,1970,TMWR,0,MIA,153,,15.0,2344.0,504.0,,,,,,,,,,,,,,Dolphins,Miami
New England Patriots,NEP,1970,TMWR,0,NEP,154,,17.0,2346.0,406.0,,,,,,,,,,,,,,Patriots,New England
New England Patriots,NEP,1970,TMWR,0,NEP,154,,17.0,2346.0,306.0,,,,,,,,,,,,,,Patriots,New England
New England Patriots,NEP,1970,TMWR,0,NEP,154,,17.0,2346.0,506.0,,,,,,,,,,,,,,Patriots,New England
New York Jets,NYJ,1970,TMWR,0,NYJ,155,,20.0,2349.0,410.0,,,,,,,,,,,,,,Jets,New York
New York Jets,NYJ,1970,TMWR,0,NYJ,155,,20.0,2349.0,310.0,,,,,,,,,,,,,,Jets,New York
New York Jets,NYJ,1970,TMWR,0,NYJ,155,,20.0,2349.0,510.0,,,,,,,,,,,,,,Jets,New York
Cincinnati Bengals,CIN,1970,TMWR,0,CIN,156,,4.0,2334.0,426.0,,,,,,,,,,,,,,Bengals,Cincinnati
Cincinnati Bengals,CIN,1970,TMWR,0,CIN,156,,4.0,2334.0,326.0,,,,,,,,,,,,,,Bengals,Cincinnati
Cleveland Browns,CLE,1970,TMWR,0,CLE,157,,5.0,2335.0,419.0,,,,,,,,,,,,,,Browns,Cleveland
Cleveland Browns,CLE,1970,TMWR,0,CLE,157,,5.0,2335.0,319.0,,,,,,,,,,,,,,Browns,Cleveland
Tennessee Titans,TEN,1970,TMWR,0,TEN,158,,10.0,2358.0,431.0,,,,,,,,,,,,,,Titans,Tennessee
Tennessee Titans,TEN,1970,TMWR,0,TEN,158,,10.0,2358.0,331.0,,,,,,,,,,,,,,Titans,Tennessee
Tennessee Titans,TEN,1970,TMWR,0,TEN,158,,10.0,2358.0,531.0,,,,,,,,,,,,,,Titans,Tennessee
Jacksonville Jaguars,JAC,1970,TMWR,0,JAC,159,,30.0,2342.0,422.0,,,,,,,,,,,,,,Jaguars,Jacksonville
Jacksonville Jaguars,JAC,1970,TMWR,0,JAC,159,,30.0,2342.0,322.0,,,,,,,,,,,,,,Jaguars,Jacksonville
Jacksonville Jaguars,JAC,1970,TMWR,0,JAC,159,,30.0,2342.0,522.0,,,,,,,,,,,,,,Jaguars,Jacksonville
Pittsburgh Steelers,PIT,1970,TMWR,0,PIT,160,,23.0,2352.0,413.0,,,,,,,,,,,,,,Steelers,Pittsburgh
Pittsburgh Steelers,PIT,1970,TMWR,0,PIT,160,,23.0,2352.0,313.0,,,,,,,,,,,,,,Steelers,Pittsburgh
